step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.778672032193159,0.7686116700201208,0.8189134808853119,0.23138832997987926,184,4.1567567567567565
1000,0.788,0.754,0.812,0.24,196,3.9137055837563453
1500,0.758,0.744,0.818,0.23,204,3.6634146341463416
2000,0.758,0.798,0.788,0.222,199,3.89
2500,0.774,0.794,0.808,0.226,198,3.9396984924623117
3000,0.77,0.792,0.828,0.228,169,4.594117647058823
3500,0.84,0.79,0.806,0.242,174,4.6571428571428575
4000,0.84,0.79,0.846,0.246,162,5.0
4500,0.806,0.814,0.84,0.228,182,4.426229508196721
5000,0.822,0.792,0.848,0.212,182,4.409836065573771
5500,0.842,0.792,0.834,0.228,170,4.777777777777778
6000,0.826,0.802,0.832,0.22,175,4.625
6500,0.852,0.82,0.808,0.222,156,5.32484076433121
7000,0.826,0.798,0.842,0.23,181,4.461538461538462
7500,0.848,0.806,0.822,0.238,163,5.0426829268292686
8000,0.826,0.818,0.81,0.214,174,4.6971428571428575
8500,0.83,0.82,0.826,0.216,167,4.910714285714286
9000,0.858,0.808,0.838,0.248,157,5.272151898734177
9500,0.818,0.798,0.806,0.21,188,4.275132275132275
10000,0.83,0.8,0.838,0.256,173,4.683908045977011
10500,0.81,0.792,0.798,0.218,196,4.065989847715736
11000,0.842,0.808,0.804,0.252,168,4.881656804733728
11500,0.846,0.838,0.848,0.192,149,5.613333333333333
12000,0.808,0.812,0.802,0.208,186,4.331550802139038
12500,0.75,0.776,0.816,0.242,200,3.7960199004975124
13000,0.768,0.784,0.8,0.246,200,3.8606965174129355
13500,0.822,0.756,0.81,0.21,184,4.264864864864865
14000,0.824,0.8,0.83,0.228,160,5.043478260869565
14500,0.808,0.758,0.816,0.24,205,3.8009708737864076
15000,0.768,0.808,0.788,0.222,193,4.061855670103093
15500,0.79,0.78,0.822,0.236,208,3.7559808612440193
16000,0.834,0.818,0.824,0.244,165,4.975903614457831
16500,0.826,0.856,0.83,0.21,149,5.6066666666666665
17000,0.824,0.814,0.848,0.234,175,4.653409090909091
17500,0.788,0.828,0.806,0.232,182,4.415300546448087
18000,0.814,0.846,0.852,0.228,156,5.286624203821656
18500,0.82,0.806,0.824,0.21,179,4.516666666666667
19000,0.824,0.812,0.84,0.192,167,4.869047619047619
19500,0.796,0.862,0.858,0.23,163,5.054878048780488
20000,0.762,0.792,0.868,0.216,163,4.737804878048781
20500,0.79,0.76,0.836,0.254,209,3.6904761904761907
21000,0.844,0.792,0.842,0.21,165,4.927710843373494
21500,0.81,0.834,0.864,0.208,160,5.105590062111801
22000,0.858,0.802,0.886,0.24,144,5.724137931034483
22500,0.884,0.84,0.85,0.244,128,6.682170542635659
23000,0.84,0.836,0.852,0.206,150,5.549668874172186
23500,0.88,0.81,0.864,0.206,142,5.909090909090909
24000,0.828,0.812,0.854,0.198,161,5.061728395061729
24500,0.836,0.808,0.848,0.236,161,5.074074074074074
25000,0.818,0.828,0.856,0.236,170,4.812865497076023
