step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8148893360160966,0.7967806841046278,0.8450704225352113,0.25553319919517103,155,5.134615384615385
1000,0.802,0.8,0.846,0.266,168,4.739644970414201
1500,0.792,0.798,0.83,0.242,177,4.466292134831461
2000,0.838,0.85,0.862,0.266,134,6.2518518518518515
2500,0.83,0.802,0.832,0.266,163,4.975609756097561
3000,0.82,0.826,0.824,0.218,164,4.987878787878788
3500,0.838,0.814,0.828,0.244,162,5.067484662576687
4000,0.84,0.848,0.846,0.22,138,6.071942446043166
4500,0.85,0.836,0.852,0.21,149,5.62
5000,0.878,0.874,0.87,0.244,121,7.180327868852459
5500,0.87,0.848,0.86,0.244,135,6.3161764705882355
6000,0.87,0.868,0.864,0.256,129,6.684615384615385
6500,0.84,0.814,0.846,0.232,172,4.780346820809249
7000,0.854,0.844,0.862,0.26,145,5.815068493150685
7500,0.85,0.83,0.83,0.228,155,5.384615384615385
8000,0.884,0.86,0.856,0.186,130,6.656488549618321
8500,0.85,0.852,0.848,0.262,143,5.909722222222222
9000,0.858,0.87,0.85,0.25,131,6.545454545454546
9500,0.866,0.858,0.866,0.266,134,6.385185185185185
10000,0.852,0.816,0.868,0.232,160,5.180124223602484
10500,0.852,0.848,0.852,0.212,143,5.902777777777778
11000,0.878,0.864,0.87,0.236,129,6.7
11500,0.852,0.842,0.828,0.252,151,5.572368421052632
12000,0.858,0.856,0.818,0.222,143,5.951388888888889
12500,0.79,0.818,0.794,0.264,164,4.872727272727273
13000,0.828,0.826,0.832,0.236,153,5.37012987012987
13500,0.826,0.83,0.84,0.246,150,5.483443708609271
14000,0.86,0.83,0.876,0.316,137,6.1231884057971016
14500,0.836,0.828,0.87,0.218,164,5.042424242424242
15000,0.86,0.844,0.89,0.264,134,6.311111111111111
15500,0.854,0.828,0.888,0.2,146,5.72108843537415
16000,0.824,0.838,0.844,0.272,160,5.161490683229814
16500,0.856,0.84,0.866,0.228,138,6.100719424460432
17000,0.858,0.808,0.898,0.256,150,5.516556291390729
17500,0.848,0.79,0.894,0.214,163,4.9939024390243905
18000,0.898,0.874,0.906,0.24,104,8.438095238095238
18500,0.864,0.864,0.86,0.228,130,6.595419847328245
19000,0.892,0.886,0.89,0.198,106,8.30841121495327
19500,0.858,0.846,0.916,0.24,139,6.085714285714285
20000,0.84,0.864,0.878,0.252,147,5.756756756756757
20500,0.858,0.858,0.886,0.194,140,6.085106382978723
21000,0.852,0.88,0.894,0.248,126,6.818897637795276
21500,0.874,0.856,0.898,0.25,133,6.455223880597015
22000,0.882,0.89,0.9,0.23,109,8.054545454545455
22500,0.848,0.888,0.89,0.208,133,6.477611940298507
23000,0.89,0.884,0.874,0.238,109,8.063636363636364
23500,0.86,0.852,0.88,0.23,141,6.028169014084507
24000,0.89,0.852,0.91,0.256,127,6.8046875
24500,0.86,0.842,0.892,0.208,146,5.789115646258503
25000,0.878,0.838,0.9,0.234,137,6.217391304347826
