step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8028169014084507,0.806841046277666,0.8350100603621731,0.24748490945674045,139,5.714285714285714
1000,0.83,0.838,0.876,0.226,124,6.672
1500,0.81,0.816,0.834,0.238,142,5.685314685314685
2000,0.814,0.836,0.85,0.26,141,5.809859154929577
2500,0.856,0.862,0.866,0.238,118,7.218487394957983
3000,0.822,0.814,0.852,0.21,152,5.34640522875817
3500,0.796,0.852,0.87,0.224,141,5.802816901408451
4000,0.798,0.874,0.876,0.228,138,6.014388489208633
4500,0.852,0.83,0.854,0.246,140,5.964539007092198
5000,0.86,0.876,0.89,0.264,122,7.056910569105691
5500,0.862,0.852,0.866,0.218,138,6.16546762589928
6000,0.898,0.876,0.91,0.258,98,8.95959595959596
6500,0.876,0.866,0.884,0.236,124,6.968
7000,0.868,0.858,0.866,0.224,137,6.253623188405797
7500,0.876,0.866,0.886,0.27,115,7.508620689655173
8000,0.864,0.862,0.864,0.23,133,6.440298507462686
8500,0.894,0.892,0.892,0.29,107,8.268518518518519
9000,0.878,0.882,0.874,0.258,115,7.586206896551724
9500,0.864,0.878,0.87,0.222,122,7.08130081300813
10000,0.892,0.886,0.872,0.224,105,8.38679245283019
10500,0.882,0.876,0.89,0.232,117,7.4491525423728815
11000,0.9,0.888,0.896,0.226,99,8.94
11500,0.854,0.854,0.868,0.24,141,6.014084507042254
12000,0.866,0.882,0.846,0.218,124,6.992
12500,0.86,0.816,0.874,0.264,142,5.86013986013986
13000,0.848,0.864,0.878,0.268,113,7.508771929824562
13500,0.892,0.836,0.868,0.224,116,7.384615384615385
14000,0.854,0.854,0.904,0.254,133,6.373134328358209
14500,0.916,0.888,0.91,0.262,97,9.204081632653061
15000,0.878,0.874,0.902,0.246,107,8.11111111111111
15500,0.888,0.89,0.932,0.212,110,8.00900900900901
16000,0.89,0.87,0.89,0.268,107,8.148148148148149
16500,0.88,0.86,0.896,0.288,118,7.310924369747899
17000,0.88,0.868,0.902,0.24,113,7.666666666666667
17500,0.892,0.862,0.904,0.238,117,7.432203389830509
18000,0.904,0.884,0.896,0.236,98,9.030303030303031
18500,0.888,0.878,0.888,0.24,104,8.40952380952381
19000,0.878,0.866,0.908,0.242,118,7.3277310924369745
19500,0.89,0.874,0.9,0.248,100,8.732673267326733
20000,0.882,0.9,0.92,0.258,96,9.185567010309278
20500,0.9,0.904,0.914,0.246,91,9.804347826086957
21000,0.898,0.898,0.906,0.274,88,10.089887640449438
21500,0.892,0.892,0.914,0.254,106,8.336448598130842
22000,0.912,0.88,0.918,0.264,98,9.05050505050505
22500,0.912,0.898,0.922,0.214,88,10.168539325842696
23000,0.896,0.888,0.93,0.254,101,8.745098039215685
23500,0.892,0.866,0.918,0.26,105,8.29245283018868
24000,0.884,0.904,0.922,0.226,101,8.764705882352942
24500,0.894,0.902,0.926,0.25,89,9.977777777777778
25000,0.892,0.898,0.922,0.248,100,8.861386138613861
