step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8088531187122736,0.806841046277666,0.8672032193158954,0.2535211267605634,139,5.735714285714286
1000,0.822,0.812,0.892,0.246,126,6.433070866141732
1500,0.852,0.846,0.888,0.266,112,7.513274336283186
2000,0.88,0.822,0.872,0.256,105,8.028301886792454
2500,0.864,0.806,0.87,0.264,111,7.455357142857143
3000,0.866,0.84,0.88,0.27,108,7.825688073394495
3500,0.88,0.876,0.906,0.242,99,8.78
4000,0.862,0.862,0.878,0.242,109,7.836363636363636
4500,0.892,0.862,0.852,0.226,110,7.900900900900901
5000,0.872,0.838,0.874,0.226,121,7.008196721311475
5500,0.862,0.838,0.86,0.254,124,6.8
6000,0.9,0.872,0.88,0.264,89,9.844444444444445
6500,0.892,0.862,0.902,0.234,93,9.329787234042554
7000,0.876,0.838,0.862,0.23,116,7.3247863247863245
7500,0.862,0.894,0.872,0.226,103,8.442307692307692
8000,0.832,0.892,0.886,0.242,86,9.908045977011493
8500,0.89,0.9,0.88,0.24,94,9.421052631578947
9000,0.904,0.902,0.87,0.262,90,9.923076923076923
9500,0.904,0.89,0.858,0.28,100,8.881188118811881
10000,0.934,0.904,0.894,0.236,68,13.318840579710145
10500,0.91,0.918,0.896,0.248,78,11.569620253164556
11000,0.92,0.89,0.89,0.27,80,11.17283950617284
11500,0.914,0.874,0.864,0.228,96,9.216494845360824
12000,0.906,0.9,0.868,0.256,83,10.75
12500,0.886,0.862,0.898,0.284,97,8.918367346938776
13000,0.888,0.886,0.89,0.232,90,9.747252747252746
13500,0.906,0.89,0.904,0.222,87,10.204545454545455
14000,0.936,0.868,0.902,0.312,80,11.135802469135802
14500,0.92,0.898,0.918,0.268,83,10.821428571428571
15000,0.916,0.86,0.904,0.232,101,8.705882352941176
15500,0.928,0.87,0.912,0.27,83,10.702380952380953
16000,0.928,0.894,0.924,0.222,83,10.845238095238095
16500,0.916,0.864,0.902,0.286,103,8.557692307692308
17000,0.932,0.902,0.916,0.264,80,11.320987654320987
17500,0.93,0.868,0.918,0.25,86,10.333333333333334
18000,0.946,0.918,0.926,0.226,65,14.121212121212121
18500,0.94,0.908,0.956,0.234,69,13.2
19000,0.96,0.91,0.95,0.266,52,17.641509433962263
19500,0.946,0.914,0.964,0.27,59,15.5
20000,0.946,0.908,0.952,0.266,52,17.49056603773585
20500,0.944,0.924,0.938,0.27,60,15.311475409836065
21000,0.95,0.922,0.942,0.23,59,15.6
21500,0.94,0.92,0.948,0.26,65,14.090909090909092
22000,0.946,0.904,0.95,0.248,69,13.214285714285714
22500,0.942,0.91,0.964,0.234,64,14.246153846153845
23000,0.956,0.914,0.946,0.244,56,16.403508771929825
23500,0.962,0.916,0.954,0.258,48,19.163265306122447
24000,0.972,0.92,0.974,0.226,36,25.56756756756757
24500,0.968,0.912,0.958,0.28,41,22.38095238095238
25000,0.966,0.936,0.958,0.266,41,22.642857142857142
