step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8048289738430584,0.8128772635814889,0.8631790744466801,0.2535211267605634,140,5.702127659574468
1000,0.818,0.842,0.884,0.242,130,6.33587786259542
1500,0.858,0.878,0.898,0.268,102,8.427184466019417
2000,0.872,0.876,0.886,0.26,111,7.803571428571429
2500,0.87,0.844,0.866,0.268,124,6.856
3000,0.858,0.854,0.876,0.264,132,6.43609022556391
3500,0.864,0.872,0.864,0.264,116,7.418803418803419
4000,0.872,0.832,0.862,0.252,112,7.539823008849558
4500,0.886,0.878,0.89,0.226,104,8.4
5000,0.89,0.864,0.886,0.226,99,8.77
5500,0.848,0.84,0.85,0.248,132,6.345864661654136
6000,0.89,0.886,0.866,0.27,101,8.705882352941176
6500,0.864,0.864,0.874,0.234,128,6.6976744186046515
7000,0.894,0.868,0.86,0.234,106,8.233644859813085
7500,0.864,0.872,0.854,0.222,120,7.1735537190082646
8000,0.896,0.874,0.872,0.232,104,8.428571428571429
8500,0.884,0.898,0.86,0.228,103,8.567307692307692
9000,0.864,0.872,0.862,0.27,126,6.834645669291339
9500,0.902,0.894,0.87,0.266,94,9.452631578947368
10000,0.888,0.854,0.872,0.238,111,7.776785714285714
10500,0.878,0.878,0.874,0.256,109,7.9818181818181815
11000,0.918,0.888,0.906,0.272,84,10.623529411764705
11500,0.904,0.868,0.866,0.238,104,8.438095238095238
12000,0.888,0.864,0.872,0.272,109,7.963636363636364
12500,0.862,0.866,0.89,0.278,108,7.926605504587156
13000,0.858,0.88,0.866,0.234,106,8.121495327102803
13500,0.886,0.882,0.882,0.23,96,9.11340206185567
14000,0.9,0.87,0.902,0.314,94,9.31578947368421
14500,0.902,0.852,0.888,0.27,98,8.858585858585858
15000,0.908,0.864,0.886,0.226,87,10.068181818181818
15500,0.91,0.876,0.876,0.274,85,10.383720930232558
16000,0.91,0.84,0.876,0.214,99,8.75
16500,0.916,0.882,0.918,0.28,79,11.2375
17000,0.906,0.866,0.918,0.266,86,10.183908045977011
17500,0.926,0.868,0.942,0.252,80,11.074074074074074
18000,0.91,0.852,0.884,0.242,85,10.244186046511627
18500,0.914,0.852,0.914,0.23,88,9.92134831460674
19000,0.916,0.868,0.936,0.26,88,10.02247191011236
19500,0.91,0.816,0.908,0.274,101,8.46078431372549
20000,0.926,0.858,0.922,0.256,86,10.25287356321839
20500,0.942,0.884,0.932,0.258,73,12.337837837837839
21000,0.908,0.87,0.914,0.218,99,8.89
21500,0.934,0.886,0.928,0.266,78,11.518987341772151
22000,0.928,0.862,0.942,0.262,84,10.529411764705882
22500,0.948,0.87,0.904,0.236,73,12.283783783783784
23000,0.92,0.878,0.926,0.24,87,10.215909090909092
23500,0.96,0.876,0.93,0.276,60,15.049180327868852
24000,0.958,0.9,0.944,0.23,54,16.89090909090909
24500,0.926,0.894,0.922,0.282,77,11.666666666666666
25000,0.948,0.894,0.912,0.264,66,13.746268656716419
