step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8169014084507042,0.8128772635814889,0.8712273641851107,0.2535211267605634,133,6.044776119402985
1000,0.83,0.832,0.898,0.248,114,7.226086956521739
1500,0.872,0.878,0.91,0.27,92,9.408602150537634
2000,0.91,0.884,0.92,0.264,80,11.074074074074074
2500,0.896,0.84,0.918,0.246,104,8.266666666666667
3000,0.892,0.844,0.924,0.264,104,8.266666666666667
3500,0.892,0.876,0.906,0.26,106,8.261682242990654
4000,0.896,0.86,0.89,0.244,103,8.442307692307692
4500,0.878,0.798,0.91,0.214,119,6.983333333333333
5000,0.888,0.854,0.926,0.238,96,8.97938144329897
5500,0.892,0.876,0.914,0.25,96,9.11340206185567
6000,0.916,0.876,0.91,0.256,95,9.333333333333334
6500,0.91,0.854,0.93,0.24,83,10.5
7000,0.918,0.868,0.914,0.224,83,10.630952380952381
7500,0.912,0.812,0.898,0.224,98,8.707070707070708
8000,0.908,0.828,0.904,0.248,85,10.093023255813954
8500,0.912,0.868,0.928,0.238,86,10.229885057471265
9000,0.924,0.89,0.938,0.268,68,13.144927536231885
9500,0.906,0.9,0.92,0.274,88,10.146067415730338
10000,0.92,0.896,0.912,0.242,74,12.106666666666667
10500,0.922,0.908,0.926,0.242,76,11.883116883116884
11000,0.916,0.854,0.932,0.246,99,8.85
11500,0.928,0.878,0.922,0.23,72,12.36986301369863
12000,0.906,0.888,0.916,0.264,89,9.966666666666667
12500,0.86,0.874,0.894,0.286,96,8.938144329896907
13000,0.844,0.862,0.88,0.218,110,7.684684684684685
13500,0.886,0.85,0.896,0.228,102,8.427184466019417
14000,0.904,0.886,0.924,0.306,81,10.914634146341463
14500,0.908,0.886,0.918,0.246,85,10.430232558139535
15000,0.922,0.89,0.932,0.232,78,11.468354430379748
15500,0.904,0.906,0.912,0.282,82,10.903614457831326
16000,0.918,0.886,0.936,0.214,76,11.714285714285714
16500,0.914,0.906,0.934,0.282,76,11.818181818181818
17000,0.926,0.902,0.946,0.256,74,12.186666666666667
17500,0.946,0.914,0.94,0.254,56,16.31578947368421
18000,0.922,0.9,0.934,0.236,80,11.246913580246913
18500,0.906,0.89,0.956,0.236,81,10.951219512195122
19000,0.928,0.918,0.96,0.26,67,13.573529411764707
19500,0.918,0.94,0.956,0.278,62,14.746031746031745
20000,0.926,0.936,0.96,0.254,59,15.516666666666667
20500,0.94,0.92,0.952,0.268,56,16.31578947368421
21000,0.954,0.936,0.968,0.232,48,19.285714285714285
21500,0.934,0.938,0.97,0.266,57,16.137931034482758
22000,0.94,0.926,0.98,0.25,60,15.295081967213115
22500,0.956,0.914,0.968,0.236,45,20.32608695652174
23000,0.948,0.948,0.95,0.234,46,20.170212765957448
23500,0.932,0.908,0.96,0.252,70,12.95774647887324
24000,0.948,0.942,0.98,0.222,47,19.6875
24500,0.924,0.904,0.966,0.27,69,13.057142857142857
25000,0.946,0.93,0.97,0.278,51,18.03846153846154
