step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8189134808853119,0.8189134808853119,0.8732394366197183,0.2535211267605634,130,6.213740458015267
1000,0.822,0.838,0.89,0.25,121,6.80327868852459
1500,0.864,0.874,0.9,0.264,100,8.603960396039604
2000,0.874,0.886,0.892,0.256,107,8.148148148148149
2500,0.892,0.882,0.904,0.264,100,8.782178217821782
3000,0.874,0.872,0.908,0.248,114,7.591304347826087
3500,0.91,0.898,0.918,0.266,89,10.044444444444444
4000,0.884,0.87,0.898,0.246,108,8.045871559633028
4500,0.898,0.882,0.91,0.224,101,8.72549019607843
5000,0.924,0.892,0.918,0.234,85,10.55813953488372
5500,0.914,0.884,0.924,0.248,92,9.666666666666666
6000,0.926,0.91,0.922,0.264,78,11.620253164556962
6500,0.92,0.928,0.93,0.236,72,12.657534246575343
7000,0.922,0.888,0.9,0.222,97,9.23469387755102
7500,0.92,0.896,0.918,0.206,89,10.088888888888889
8000,0.918,0.932,0.922,0.246,72,12.67123287671233
8500,0.94,0.912,0.918,0.23,72,12.684931506849315
9000,0.934,0.932,0.93,0.284,62,14.80952380952381
9500,0.922,0.932,0.924,0.284,68,13.434782608695652
10000,0.92,0.926,0.94,0.232,67,13.573529411764707
10500,0.906,0.908,0.922,0.262,90,9.967032967032967
11000,0.928,0.922,0.958,0.27,72,12.67123287671233
11500,0.912,0.9,0.932,0.234,86,10.413793103448276
12000,0.92,0.894,0.9,0.258,89,10.077777777777778
12500,0.878,0.87,0.91,0.274,98,8.828282828282829
13000,0.864,0.88,0.894,0.214,104,8.304761904761905
13500,0.894,0.864,0.906,0.226,107,8.13888888888889
14000,0.892,0.898,0.922,0.304,93,9.52127659574468
14500,0.928,0.902,0.922,0.26,77,11.73076923076923
15000,0.908,0.904,0.92,0.24,88,10.179775280898877
15500,0.914,0.91,0.926,0.278,79,11.4
16000,0.92,0.908,0.948,0.218,81,11.146341463414634
16500,0.924,0.924,0.926,0.286,70,13.014084507042254
17000,0.918,0.908,0.932,0.25,86,10.494252873563218
17500,0.91,0.918,0.946,0.248,87,10.386363636363637
18000,0.914,0.918,0.956,0.214,79,11.45
18500,0.918,0.912,0.948,0.224,86,10.517241379310345
19000,0.912,0.922,0.938,0.252,78,11.60759493670886
19500,0.916,0.906,0.962,0.256,84,10.717647058823529
20000,0.928,0.932,0.96,0.248,68,13.478260869565217
20500,0.938,0.916,0.966,0.274,68,13.434782608695652
21000,0.926,0.922,0.968,0.224,72,12.657534246575343
21500,0.924,0.95,0.954,0.272,57,16.155172413793103
22000,0.948,0.932,0.972,0.258,57,16.20689655172414
22500,0.94,0.936,0.964,0.24,55,16.75
23000,0.94,0.938,0.972,0.242,59,15.65
23500,0.95,0.928,0.964,0.276,60,15.39344262295082
24000,0.944,0.934,0.976,0.224,59,15.65
24500,0.934,0.938,0.948,0.27,59,15.6
25000,0.934,0.944,0.962,0.262,59,15.65
