step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8169014084507042,0.8108651911468813,0.8732394366197183,0.25553319919517103,133,6.037313432835821
1000,0.802,0.83,0.876,0.248,127,6.375
1500,0.858,0.84,0.888,0.262,105,8.00943396226415
2000,0.866,0.86,0.876,0.256,115,7.439655172413793
2500,0.878,0.868,0.884,0.258,108,8.009174311926605
3000,0.888,0.866,0.898,0.268,85,10.19767441860465
3500,0.896,0.852,0.902,0.26,96,9.010309278350515
4000,0.862,0.82,0.888,0.246,119,7.008333333333334
4500,0.9,0.808,0.88,0.208,107,7.907407407407407
5000,0.85,0.832,0.868,0.232,123,6.782258064516129
5500,0.886,0.814,0.894,0.258,104,8.095238095238095
6000,0.864,0.866,0.892,0.268,104,8.238095238095237
6500,0.874,0.84,0.898,0.228,123,6.911290322580645
7000,0.89,0.812,0.884,0.24,123,6.862903225806452
7500,0.886,0.828,0.87,0.228,110,7.7207207207207205
8000,0.868,0.804,0.884,0.246,126,6.582677165354331
8500,0.896,0.794,0.888,0.226,116,7.222222222222222
9000,0.872,0.79,0.848,0.28,122,6.7560975609756095
9500,0.886,0.816,0.89,0.28,103,8.182692307692308
10000,0.892,0.834,0.898,0.242,98,8.717171717171718
10500,0.892,0.846,0.892,0.254,102,8.436893203883495
11000,0.882,0.814,0.9,0.258,109,7.709090909090909
11500,0.912,0.854,0.904,0.248,84,10.388235294117647
12000,0.904,0.834,0.86,0.276,91,9.445652173913043
12500,0.836,0.818,0.884,0.27,135,6.080882352941177
13000,0.822,0.852,0.866,0.21,129,6.438461538461539
13500,0.852,0.824,0.872,0.214,128,6.496124031007752
14000,0.898,0.848,0.894,0.314,102,8.475728155339805
14500,0.902,0.852,0.884,0.266,90,9.637362637362637
15000,0.922,0.868,0.908,0.232,81,10.914634146341463
15500,0.878,0.834,0.878,0.272,118,7.19327731092437
16000,0.908,0.862,0.912,0.242,94,9.31578947368421
16500,0.914,0.866,0.912,0.288,82,10.72289156626506
17000,0.902,0.886,0.918,0.262,91,9.717391304347826
17500,0.914,0.844,0.916,0.258,90,9.659340659340659
18000,0.918,0.868,0.934,0.246,82,10.759036144578314
18500,0.904,0.87,0.934,0.234,87,10.079545454545455
19000,0.91,0.87,0.944,0.264,86,10.229885057471265
19500,0.916,0.866,0.948,0.282,79,11.1375
20000,0.91,0.902,0.926,0.26,76,11.766233766233766
20500,0.906,0.876,0.93,0.274,84,10.48235294117647
21000,0.916,0.862,0.948,0.23,81,10.841463414634147
21500,0.922,0.89,0.932,0.266,78,11.468354430379748
22000,0.904,0.884,0.952,0.262,96,9.216494845360824
22500,0.936,0.878,0.952,0.23,69,12.957142857142857
23000,0.91,0.86,0.95,0.238,92,9.516129032258064
23500,0.924,0.864,0.948,0.268,83,10.642857142857142
24000,0.928,0.888,0.964,0.21,72,12.438356164383562
24500,0.904,0.898,0.932,0.28,84,10.6
25000,0.932,0.892,0.94,0.258,71,12.666666666666666
