step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8289738430583501,0.8209255533199196,0.89738430583501,0.2515090543259557,118,6.890756302521009
1000,0.866,0.88,0.906,0.284,89,9.7
1500,0.846,0.83,0.864,0.256,123,6.758064516129032
2000,0.864,0.832,0.896,0.254,110,7.63963963963964
2500,0.858,0.842,0.886,0.256,118,7.142857142857143
3000,0.87,0.868,0.874,0.23,108,7.972477064220183
3500,0.894,0.864,0.892,0.248,101,8.617647058823529
4000,0.898,0.892,0.886,0.226,94,9.421052631578947
4500,0.88,0.882,0.888,0.252,109,8.00909090909091
5000,0.876,0.868,0.884,0.234,117,7.389830508474576
5500,0.864,0.856,0.868,0.266,129,6.615384615384615
6000,0.9,0.854,0.87,0.254,108,8.045871559633028
6500,0.866,0.852,0.86,0.246,128,6.658914728682171
7000,0.904,0.842,0.878,0.264,97,8.908163265306122
7500,0.898,0.852,0.874,0.232,96,9.02061855670103
8000,0.914,0.846,0.868,0.242,86,10.114942528735632
8500,0.926,0.846,0.874,0.258,85,10.30232558139535
9000,0.888,0.84,0.862,0.252,107,8.0
9500,0.896,0.868,0.846,0.248,98,8.909090909090908
10000,0.912,0.894,0.898,0.23,83,10.75
10500,0.89,0.852,0.888,0.272,99,8.71
11000,0.892,0.856,0.884,0.244,101,8.568627450980392
11500,0.934,0.858,0.902,0.266,85,10.418604651162791
12000,0.91,0.864,0.858,0.254,97,9.051020408163266
12500,0.912,0.83,0.892,0.3,90,9.571428571428571
13000,0.888,0.826,0.888,0.252,100,8.485148514851485
13500,0.918,0.786,0.862,0.29,113,7.473684210526316
14000,0.92,0.812,0.88,0.266,100,8.574257425742575
14500,0.93,0.818,0.892,0.25,86,10.045977011494253
15000,0.926,0.796,0.894,0.25,90,9.461538461538462
15500,0.958,0.846,0.926,0.264,58,15.288135593220339
16000,0.966,0.838,0.934,0.236,55,16.107142857142858
16500,0.95,0.822,0.922,0.27,79,11.075
17000,0.94,0.846,0.924,0.236,80,11.024691358024691
17500,0.93,0.834,0.928,0.264,88,9.910112359550562
18000,0.96,0.878,0.934,0.276,53,17.01851851851852
18500,0.966,0.86,0.952,0.24,50,17.901960784313726
19000,0.952,0.864,0.97,0.27,51,17.46153846153846
19500,0.966,0.84,0.924,0.258,61,14.564516129032258
20000,0.948,0.88,0.942,0.238,65,13.848484848484848
20500,0.962,0.884,0.938,0.244,52,17.41509433962264
21000,0.934,0.86,0.95,0.272,72,12.287671232876713
21500,0.934,0.888,0.942,0.262,69,13.014285714285714
22000,0.948,0.894,0.954,0.282,64,14.169230769230769
22500,0.96,0.892,0.942,0.214,54,16.836363636363636
23000,0.97,0.898,0.958,0.242,44,20.755555555555556
23500,0.954,0.91,0.968,0.268,46,19.829787234042552
24000,0.966,0.924,0.956,0.262,41,22.5
24500,0.962,0.894,0.952,0.304,46,19.74468085106383
25000,0.966,0.904,0.966,0.238,45,20.32608695652174
