step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8309859154929577,0.8229376257545271,0.8933601609657947,0.24949698189134809,117,6.966101694915254
1000,0.858,0.842,0.896,0.276,106,7.94392523364486
1500,0.858,0.846,0.858,0.266,111,7.607142857142857
2000,0.872,0.844,0.902,0.252,106,8.018691588785046
2500,0.904,0.892,0.916,0.272,88,10.089887640449438
3000,0.872,0.872,0.914,0.212,111,7.785714285714286
3500,0.904,0.888,0.914,0.256,93,9.53191489361702
4000,0.878,0.874,0.91,0.234,105,8.264150943396226
4500,0.912,0.888,0.912,0.258,85,10.465116279069768
5000,0.906,0.878,0.916,0.238,96,9.195876288659793
5500,0.93,0.882,0.93,0.264,87,10.295454545454545
6000,0.894,0.894,0.906,0.266,101,8.764705882352942
6500,0.922,0.92,0.942,0.258,76,11.96103896103896
7000,0.91,0.908,0.914,0.252,87,10.329545454545455
7500,0.914,0.918,0.932,0.224,80,11.308641975308642
8000,0.93,0.94,0.922,0.25,60,15.327868852459016
8500,0.918,0.898,0.924,0.262,87,10.318181818181818
9000,0.942,0.92,0.934,0.272,61,15.016129032258064
9500,0.928,0.898,0.918,0.248,74,12.173333333333334
10000,0.936,0.892,0.958,0.218,65,13.848484848484848
10500,0.932,0.916,0.926,0.258,66,13.791044776119403
11000,0.956,0.906,0.936,0.242,64,14.323076923076924
11500,0.922,0.918,0.924,0.26,76,11.948051948051948
12000,0.934,0.918,0.924,0.268,65,14.030303030303031
12500,0.872,0.88,0.868,0.298,105,8.264150943396226
13000,0.864,0.876,0.89,0.246,102,8.446601941747574
13500,0.864,0.862,0.892,0.282,118,7.2521008403361344
14000,0.896,0.886,0.898,0.258,94,9.378947368421052
14500,0.912,0.92,0.918,0.256,76,11.896103896103897
15000,0.904,0.892,0.926,0.24,81,10.951219512195122
15500,0.93,0.904,0.944,0.248,67,13.485294117647058
16000,0.904,0.892,0.94,0.244,87,10.204545454545455
16500,0.934,0.9,0.938,0.272,74,12.226666666666667
17000,0.942,0.93,0.942,0.244,48,19.102040816326532
17500,0.94,0.914,0.948,0.25,64,14.261538461538462
18000,0.916,0.892,0.94,0.264,79,11.3
18500,0.95,0.92,0.97,0.246,49,18.7
19000,0.928,0.888,0.942,0.266,73,12.27027027027027
19500,0.952,0.918,0.942,0.262,58,15.847457627118644
20000,0.954,0.928,0.944,0.242,50,18.45098039215686
20500,0.946,0.918,0.918,0.234,59,15.533333333333333
21000,0.95,0.92,0.956,0.282,56,16.403508771929825
21500,0.932,0.902,0.936,0.25,78,11.60759493670886
22000,0.948,0.944,0.938,0.292,53,17.51851851851852
22500,0.948,0.942,0.958,0.226,49,18.9
23000,0.936,0.944,0.96,0.234,60,15.40983606557377
23500,0.942,0.942,0.958,0.26,55,16.821428571428573
24000,0.95,0.926,0.944,0.252,53,17.37037037037037
24500,0.95,0.938,0.954,0.298,53,17.48148148148148
25000,0.946,0.948,0.968,0.232,50,18.568627450980394
