step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8229376257545271,0.8148893360160966,0.8853118712273642,0.24949698189134809,125,6.4603174603174605
1000,0.842,0.86,0.894,0.282,108,7.807339449541284
1500,0.85,0.862,0.878,0.266,102,8.310679611650485
2000,0.86,0.876,0.894,0.25,105,8.18867924528302
2500,0.896,0.87,0.932,0.248,99,8.83
3000,0.89,0.894,0.9,0.222,96,9.195876288659793
3500,0.874,0.866,0.906,0.24,123,7.016129032258065
4000,0.888,0.874,0.892,0.234,101,8.637254901960784
4500,0.9,0.878,0.918,0.252,89,9.877777777777778
5000,0.902,0.896,0.908,0.24,91,9.771739130434783
5500,0.914,0.902,0.894,0.278,78,11.49367088607595
6000,0.9,0.918,0.91,0.264,83,10.821428571428571
6500,0.92,0.888,0.92,0.248,93,9.617021276595745
7000,0.886,0.904,0.906,0.242,100,8.861386138613861
7500,0.9,0.906,0.928,0.224,91,9.815217391304348
8000,0.944,0.914,0.91,0.248,67,13.661764705882353
8500,0.92,0.912,0.92,0.24,82,11.036144578313253
9000,0.934,0.906,0.912,0.252,75,12.105263157894736
9500,0.938,0.928,0.926,0.262,61,15.048387096774194
10000,0.926,0.924,0.94,0.23,74,12.333333333333334
10500,0.934,0.91,0.91,0.264,74,12.293333333333333
11000,0.926,0.916,0.92,0.234,77,11.807692307692308
11500,0.924,0.93,0.916,0.268,72,12.698630136986301
12000,0.928,0.92,0.916,0.258,72,12.657534246575343
12500,0.864,0.886,0.888,0.284,106,8.177570093457945
13000,0.848,0.902,0.9,0.252,98,8.83838383838384
13500,0.884,0.896,0.912,0.288,91,9.673913043478262
14000,0.874,0.87,0.904,0.242,97,8.89795918367347
14500,0.894,0.882,0.912,0.25,85,10.325581395348838
15000,0.906,0.894,0.952,0.24,73,12.162162162162161
15500,0.932,0.93,0.954,0.252,59,15.516666666666667
16000,0.908,0.89,0.934,0.23,83,10.702380952380953
16500,0.922,0.918,0.932,0.282,67,13.529411764705882
17000,0.918,0.948,0.936,0.226,53,17.27777777777778
17500,0.922,0.916,0.946,0.262,75,12.092105263157896
18000,0.924,0.908,0.948,0.254,74,12.213333333333333
18500,0.922,0.93,0.962,0.25,69,13.228571428571428
19000,0.934,0.908,0.972,0.264,68,13.347826086956522
19500,0.922,0.934,0.946,0.238,65,14.06060606060606
20000,0.936,0.928,0.944,0.23,61,15.03225806451613
20500,0.914,0.912,0.942,0.228,79,11.4125
21000,0.916,0.896,0.966,0.274,82,10.91566265060241
21500,0.924,0.932,0.972,0.262,50,18.19607843137255
22000,0.928,0.906,0.962,0.27,79,11.4625
22500,0.962,0.936,0.96,0.232,44,21.08888888888889
23000,0.95,0.928,0.96,0.25,51,18.057692307692307
23500,0.942,0.936,0.956,0.262,53,17.38888888888889
24000,0.932,0.942,0.956,0.25,59,15.616666666666667
24500,0.944,0.936,0.964,0.29,47,19.583333333333332
25000,0.946,0.938,0.966,0.232,50,18.470588235294116
