step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.806841046277666,0.8269617706237424,0.8792756539235412,0.4305835010060362,130,6.198473282442748
1000,0.83,0.834,0.882,0.434,129,6.4
1500,0.824,0.792,0.854,0.42,150,5.3509933774834435
2000,0.838,0.816,0.854,0.398,138,5.9496402877697845
2500,0.862,0.814,0.866,0.39,138,6.028776978417266
3000,0.87,0.806,0.874,0.386,127,6.546875
3500,0.88,0.842,0.894,0.4,112,7.619469026548672
4000,0.878,0.872,0.872,0.344,114,7.608695652173913
4500,0.888,0.872,0.904,0.442,118,7.394957983193278
5000,0.882,0.868,0.896,0.412,114,7.608695652173913
5500,0.888,0.87,0.878,0.398,118,7.38655462184874
6000,0.896,0.888,0.906,0.44,106,8.336448598130842
6500,0.92,0.886,0.894,0.412,95,9.40625
7000,0.92,0.898,0.898,0.432,90,9.989010989010989
7500,0.902,0.892,0.896,0.4,99,8.97
8000,0.91,0.916,0.91,0.446,88,10.258426966292134
8500,0.922,0.9,0.916,0.386,87,10.352272727272727
9000,0.914,0.9,0.908,0.414,90,9.967032967032967
9500,0.912,0.904,0.904,0.418,92,9.763440860215054
10000,0.924,0.908,0.92,0.408,84,10.776470588235295
10500,0.918,0.89,0.892,0.406,91,9.826086956521738
11000,0.9,0.896,0.916,0.422,100,8.891089108910892
11500,0.92,0.892,0.922,0.44,87,10.295454545454545
12000,0.92,0.88,0.928,0.462,93,9.574468085106384
12500,0.874,0.848,0.868,0.388,110,7.756756756756757
13000,0.874,0.868,0.894,0.356,96,8.97938144329897
13500,0.868,0.86,0.886,0.41,116,7.384615384615385
14000,0.904,0.876,0.918,0.396,101,8.72549019607843
14500,0.914,0.868,0.896,0.404,101,8.735294117647058
15000,0.88,0.862,0.902,0.418,111,7.776785714285714
15500,0.922,0.902,0.934,0.416,74,12.16
16000,0.898,0.888,0.916,0.402,96,9.206185567010309
16500,0.902,0.922,0.922,0.42,82,10.987951807228916
17000,0.92,0.892,0.95,0.418,89,10.066666666666666
17500,0.952,0.918,0.94,0.464,56,16.403508771929825
18000,0.922,0.904,0.946,0.42,77,11.705128205128204
18500,0.91,0.906,0.938,0.388,81,11.073170731707316
19000,0.942,0.902,0.962,0.378,63,14.40625
19500,0.924,0.906,0.946,0.412,73,12.364864864864865
20000,0.942,0.904,0.952,0.432,59,15.383333333333333
20500,0.924,0.896,0.948,0.412,78,11.518987341772151
21000,0.934,0.902,0.942,0.428,66,13.701492537313433
21500,0.916,0.934,0.95,0.424,64,14.23076923076923
22000,0.942,0.902,0.946,0.402,63,14.40625
22500,0.924,0.886,0.962,0.448,79,11.3125
23000,0.936,0.922,0.948,0.41,62,14.746031746031745
23500,0.916,0.932,0.966,0.428,68,13.391304347826088
24000,0.922,0.91,0.952,0.428,76,11.896103896103897
24500,0.942,0.922,0.936,0.378,57,16.06896551724138
25000,0.942,0.916,0.952,0.386,58,15.745762711864407
