step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8410462776659959,0.8430583501006036,0.8933601609657947,0.08450704225352113,104,7.9714285714285715
1000,0.876,0.89,0.916,0.104,77,11.320512820512821
1500,0.832,0.84,0.878,0.084,120,6.909090909090909
2000,0.872,0.876,0.896,0.094,102,8.485436893203884
2500,0.866,0.852,0.892,0.074,127,6.7109375
3000,0.896,0.884,0.896,0.062,91,9.673913043478262
3500,0.912,0.924,0.91,0.072,75,12.078947368421053
4000,0.92,0.912,0.918,0.076,70,12.901408450704226
4500,0.91,0.914,0.932,0.074,77,11.692307692307692
5000,0.902,0.918,0.89,0.074,83,10.833333333333334
5500,0.928,0.932,0.92,0.094,66,13.880597014925373
6000,0.938,0.926,0.904,0.044,66,13.91044776119403
6500,0.916,0.918,0.898,0.072,82,11.048192771084338
7000,0.918,0.93,0.93,0.096,75,12.157894736842104
7500,0.92,0.942,0.926,0.098,67,13.691176470588236
8000,0.93,0.93,0.942,0.102,70,13.098591549295774
8500,0.95,0.952,0.93,0.092,48,19.408163265306122
9000,0.936,0.94,0.926,0.076,60,15.37704918032787
9500,0.948,0.95,0.954,0.05,50,18.607843137254903
10000,0.952,0.962,0.948,0.06,43,21.75
10500,0.95,0.956,0.95,0.082,46,20.27659574468085
11000,0.938,0.936,0.932,0.08,61,15.112903225806452
11500,0.972,0.964,0.952,0.072,32,29.333333333333332
12000,0.956,0.952,0.94,0.076,45,20.73913043478261
12500,0.908,0.884,0.908,0.064,88,10.067415730337078
13000,0.886,0.902,0.908,0.088,83,10.642857142857142
13500,0.906,0.892,0.908,0.086,85,10.453488372093023
14000,0.926,0.916,0.94,0.09,68,13.347826086956522
14500,0.944,0.942,0.958,0.068,54,17.145454545454545
15000,0.93,0.922,0.968,0.084,66,13.82089552238806
15500,0.942,0.944,0.96,0.1,54,17.145454545454545
16000,0.948,0.936,0.956,0.088,52,17.77358490566038
16500,0.96,0.948,0.968,0.078,42,22.186046511627907
17000,0.956,0.944,0.974,0.084,45,20.652173913043477
17500,0.944,0.958,0.968,0.07,47,19.8125
18000,0.954,0.948,0.968,0.084,49,19.02
18500,0.952,0.948,0.962,0.084,48,19.387755102040817
19000,0.962,0.95,0.978,0.082,43,21.727272727272727
19500,0.944,0.962,0.954,0.074,45,20.717391304347824
20000,0.96,0.956,0.978,0.09,38,24.564102564102566
20500,0.934,0.952,0.968,0.084,55,16.839285714285715
21000,0.944,0.962,0.958,0.094,43,21.65909090909091
21500,0.95,0.958,0.962,0.098,44,21.2
22000,0.964,0.962,0.976,0.084,37,25.342105263157894
22500,0.95,0.966,0.978,0.066,40,23.365853658536587
23000,0.964,0.968,0.976,0.074,33,28.41176470588235
23500,0.956,0.968,0.976,0.09,35,26.72222222222222
24000,0.946,0.964,0.964,0.09,41,22.738095238095237
24500,0.954,0.962,0.982,0.09,37,25.210526315789473
25000,0.96,0.964,0.974,0.09,32,29.151515151515152
