step,avg_raw_r1,avg_raw_r2,avg_tdma,avg_aloha,collisions_last_win,energy_efficiency
500,0.8732394366197183,0.8571428571428571,0.8893360160965795,0.2796780684104628,96,8.8659793814433
1000,0.876,0.864,0.89,0.232,99,8.7
1500,0.882,0.862,0.896,0.236,101,8.549019607843137
2000,0.852,0.854,0.904,0.276,123,6.879032258064516
2500,0.874,0.884,0.922,0.21,101,8.617647058823529
3000,0.884,0.876,0.892,0.278,106,8.22429906542056
3500,0.902,0.91,0.908,0.238,86,10.413793103448276
4000,0.916,0.904,0.926,0.252,71,12.63888888888889
4500,0.91,0.904,0.894,0.276,82,10.927710843373495
5000,0.926,0.918,0.934,0.274,74,12.293333333333333
5500,0.906,0.908,0.906,0.244,89,10.077777777777778
6000,0.928,0.924,0.926,0.266,72,12.684931506849315
6500,0.966,0.944,0.938,0.244,42,22.209302325581394
7000,0.954,0.932,0.95,0.258,53,17.462962962962962
7500,0.918,0.93,0.918,0.222,72,12.657534246575343
8000,0.95,0.932,0.93,0.244,57,16.224137931034484
8500,0.934,0.91,0.914,0.228,73,12.45945945945946
9000,0.922,0.926,0.904,0.27,74,12.32
9500,0.958,0.952,0.944,0.276,43,21.704545454545453
10000,0.93,0.96,0.92,0.252,51,18.173076923076923
10500,0.932,0.938,0.918,0.246,64,14.384615384615385
11000,0.924,0.96,0.932,0.226,58,15.966101694915254
11500,0.934,0.926,0.94,0.26,69,13.285714285714286
12000,0.936,0.938,0.924,0.234,62,14.873015873015873
12500,0.824,0.88,0.87,0.264,115,7.344827586206897
13000,0.866,0.89,0.884,0.218,103,8.442307692307692
13500,0.878,0.908,0.898,0.26,90,9.813186813186814
14000,0.904,0.896,0.936,0.244,81,10.975609756097562
14500,0.908,0.922,0.928,0.246,83,10.892857142857142
15000,0.928,0.946,0.934,0.236,56,16.43859649122807
15500,0.938,0.946,0.952,0.244,54,17.12727272727273
16000,0.954,0.92,0.948,0.256,57,16.155172413793103
16500,0.926,0.94,0.962,0.262,60,15.295081967213115
17000,0.954,0.96,0.96,0.246,42,22.25581395348837
17500,0.946,0.952,0.946,0.264,46,20.19148936170213
18000,0.946,0.95,0.962,0.25,50,18.58823529411765
18500,0.924,0.944,0.966,0.256,60,15.311475409836065
19000,0.948,0.954,0.966,0.22,42,22.11627906976744
19500,0.96,0.964,0.978,0.274,35,26.72222222222222
20000,0.968,0.95,0.958,0.222,36,25.91891891891892
20500,0.986,0.972,0.98,0.26,20,46.61904761904762
21000,0.976,0.956,0.974,0.216,24,38.64
21500,0.966,0.96,0.974,0.256,32,29.181818181818183
22000,0.96,0.956,0.972,0.262,40,23.365853658536587
22500,0.952,0.96,0.974,0.256,41,22.761904761904763
23000,0.96,0.942,0.972,0.234,48,19.408163265306122
23500,0.974,0.968,0.984,0.214,27,34.67857142857143
24000,0.972,0.97,0.978,0.26,27,34.67857142857143
24500,0.97,0.976,0.98,0.25,24,38.92
25000,0.954,0.952,0.966,0.236,46,20.27659574468085
